Date,Not indexed,Indexed,Impressions
2026-05-24,,,11
2026-05-25,25,13,17
2026-05-26,27,11,17
2026-05-27,27,11,11
2026-05-28,27,11,14
2026-05-29,27,11,12
2026-05-30,28,10,11
2026-05-31,28,10,18
2026-06-01,28,10,13
2026-06-02,28,10,5
2026-06-03,28,10,9
2026-06-04,28,10,11
2026-06-05,28,10,10
2026-06-06,28,10,9
2026-06-07,28,10,10
2026-06-08,28,10,8
2026-06-09,28,10,11
2026-06-10,28,10,7
2026-06-11,28,10,9
2026-06-12,28,10,10
2026-06-13,34,55,12
2026-06-14,34,55,4
2026-06-15,34,55,19
2026-06-16,34,55,10
2026-06-17,34,55,3
2026-06-18,34,55,2
2026-06-19,34,55,4
2026-06-20,34,55,5
2026-06-21,34,55,6
2026-06-22,34,55,12
2026-06-23,34,55,20
2026-06-24,34,55,28
2026-06-25,34,55,157
2026-06-26,34,55,107
2026-06-27,34,55,123
2026-06-28,34,55,173
2026-06-29,34,55,132
2026-06-30,34,55,150
2026-07-01,56,84,90
2026-07-02,56,84,71
2026-07-03,56,84,41
2026-07-04,56,84,102
2026-07-05,56,84,80
2026-07-06,56,84,81
2026-07-07,56,84,100
2026-07-08,56,84,146
2026-07-09,56,84,101
2026-07-10,56,84,133
2026-07-11,55,85,87
2026-07-12,55,85,60
2026-07-13,55,85,43
2026-07-14,55,85,56
2026-07-15,55,85,33
2026-07-16,55,85,27
2026-07-17,55,85,33
2026-07-18,55,85,9
2026-07-19,55,85,21
2026-07-20,55,85,20
2026-07-21,55,85,30
2026-07-22,55,85,65
2026-07-23,55,85,40
2026-07-24,55,85,32
2026-07-25,58,81,37
2026-07-26,58,81,43
2026-07-27,58,81,50
2026-07-28,58,81,119
2026-07-29,58,81,107
2026-07-30,58,81,120
2026-07-31,58,81,112
2026-08-01,58,81,123
2026-08-02,58,81,129
2026-08-03,58,81,107
2026-08-04,58,81,47
2026-08-05,58,81,31
2026-08-06,55,81,36
2026-08-07,55,81,42
2026-08-08,55,81,44
2026-08-09,55,81,71
2026-08-10,55,81,51
2026-08-11,55,81,31
2026-08-12,55,81,27
2026-08-13,55,81,60
2026-08-14,55,81,40
2026-08-15,54,82,37
2026-08-16,54,82,57
2026-08-17,54,82,41
