Country,Clicks,Impressions,CTR,Position
Pakistan,121,586,20.65%,3.1
India,2,79,2.53%,29.41
Hungary,2,4,50%,3.25
United States,1,3572,0.03%,37.61
Canada,1,89,1.12%,45.6
Poland,1,16,6.25%,53.31
Brazil,1,15,6.67%,25.27
United Kingdom,0,399,0%,47.94
Germany,0,201,0%,37.76
Israel,0,180,0%,6.02
Australia,0,84,0%,51.13
Sweden,0,76,0%,57.54
Singapore,0,72,0%,52.83
France,0,64,0%,27.44
Ukraine,0,62,0%,38.24
Netherlands,0,60,0%,9.95
Switzerland,0,60,0%,63.83
Vietnam,0,39,0%,29.23
Indonesia,0,37,0%,13.11
Italy,0,35,0%,7.46
Philippines,0,27,0%,37
Malaysia,0,24,0%,32.92
Turkey,0,22,0%,37.82
Hong Kong,0,21,0%,18.9
United Arab Emirates,0,18,0%,13.28
Thailand,0,17,0%,35.71
Mexico,0,16,0%,37.88
Bangladesh,0,14,0%,30.64
South Korea,0,13,0%,10.62
Spain,0,12,0%,18.75
Saudi Arabia,0,12,0%,32.25
Morocco,0,11,0%,15.73
Russia,0,10,0%,38
Nigeria,0,8,0%,5.88
China,0,8,0%,7.88
Belgium,0,8,0%,29.62
South Africa,0,8,0%,33.38
Croatia,0,6,0%,46.5
Iran,0,5,0%,6.2
Greece,0,5,0%,7.8
Japan,0,5,0%,10.2
Egypt,0,5,0%,11.4
Algeria,0,5,0%,21.4
Iraq,0,5,0%,22.2
Norway,0,5,0%,23.2
New Zealand,0,5,0%,43.2
Ireland,0,4,0%,15.25
Chile,0,4,0%,17.75
Argentina,0,4,0%,18
Jordan,0,4,0%,35.75
Myanmar (Burma),0,3,0%,6
Bulgaria,0,3,0%,7
Romania,0,3,0%,8
Denmark,0,3,0%,11.33
Tunisia,0,3,0%,27.33
Taiwan,0,3,0%,28.33
Estonia,0,3,0%,42
Ethiopia,0,2,0%,1
Zimbabwe,0,2,0%,1.5
Bosnia & Herzegovina,0,2,0%,5
Kenya,0,2,0%,5
Georgia,0,2,0%,7.5
Albania,0,2,0%,8
Nepal,0,2,0%,9.5
Austria,0,2,0%,20
Ecuador,0,2,0%,25
Cyprus,0,2,0%,75.5
Palestine,0,1,0%,2
Czechia,0,1,0%,5
Portugal,0,1,0%,5
Uzbekistan,0,1,0%,5
Finland,0,1,0%,9
Cambodia,0,1,0%,9
Slovakia,0,1,0%,9
Tanzania,0,1,0%,9
Bolivia,0,1,0%,10
Honduras,0,1,0%,10
Sri Lanka,0,1,0%,10
Slovenia,0,1,0%,10
Chad,0,1,0%,10
Afghanistan,0,1,0%,11
Qatar,0,1,0%,11
Serbia,0,1,0%,15
Azerbaijan,0,1,0%,24
Paraguay,0,1,0%,28
Venezuela,0,1,0%,33
Colombia,0,1,0%,43
Gibraltar,0,1,0%,52
Lithuania,0,1,0%,57
